internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
84543703,Heteromirafra archeri,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ALAUDIDAE,Heteromirafra,archeri,,,,,"Clarke, 1920","Sister to <em>H. ruddi </em>(Alström <em>et al. </em>2013a). Morphological, vocal and genetic analysis recently demonstrated that form <em>sidamoensis</em>, treated as a species in HBW, belongs in present species, and may not even be subspecifically distinct; a new population in E Ethiopia simultaneously shown also to belong to nominate (Spottiswoode <em>et al.</em> 2013).We follow Donald &amp; Alström (in prep) in treating Liben Lark as monotypic."
22708740,Turdus helleri,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,helleri,,,,,"(Mearns, 1913)",
22721487,Atlapetes pallidiceps,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PASSERELLIDAE,Atlapetes,pallidiceps,,,,,"(Sharpe, 1900)",
22723786,Geospiza heliobates,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THRAUPIDAE,Geospiza,heliobates,,,,,"(Snodgrass & Heller, 1901)","<p><em>Geospiza heliobates </em>(del Hoyo and Collar 2016) was previously placed in the genus <em>Camarhynchus </em>following SACC (2005 &amp; updates); Sibley &amp; Monroe (1990, 1993); Stotz <em>et al</em>. (1996).</p>"
22720855,Palmeria dolei,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FRINGILLIDAE,Palmeria,dolei,,,,,"(Wilson, 1891)",
22702117,Cinclodes palliatus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Cinclodes,palliatus,,,,,"(Tschudi, 1844)",
22696495,Falco cherrug,ANIMALIA,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Falco,cherrug,,,,,"Gray, 1834",
22695189,Gyps africanus,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Gyps,africanus,,,,,"Salvadori, 1865",
22695194,Gyps bengalensis,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Gyps,bengalensis,,,,,"(Gmelin, 1788)",
22729731,Gyps indicus,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Gyps,indicus,,,,,"(Scopoli, 1786)",
22695254,Sarcogyps calvus,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Sarcogyps,calvus,,,,,"(Scopoli, 1786)",
22689055,Bubo scandiacus,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Bubo,scandiacus,,,,,"(Linnaeus, 1758)",<em>Bubo scandiacus </em>(del Hoyo and Collar 2014) was previously listed as <em>B.</em><em>&#160;scandiaca.</em><p></p>
